1005714547548786689	[{'likes': '0', 'tid': '1005714547548786689', 'lang': 'en', 'eco': 'BLM', 'text': '', 'created_at': ''}, {'eco': 'BLM'}, {'likes': '86', 'tid': '1005442485903134720', 'lang': 'en', 'eco': 'BLM', 'text': '', 'created_at': ''}]	1	['RETWEETS']	['1005714547548786689', '1005442485903134720']
1002620346015584256	[{'likes': '0', 'tid': '1002620346015584256', 'lang': 'und', 'eco': 'MT', 'text': '', 'created_at': ''}, {'eco': 'MT'}, {'likes': '0', 'tid': '1002603343355625472', 'lang': 'und', 'eco': 'MT', 'text': '', 'created_at': ''}, {'eco': 'MT'}, {'likes': '4', 'tid': '1002465349294592000', 'lang': 'en', 'eco': 'MT', 'text': '', 'created_at': ''}]	2	['RETWEETS', 'QUOTED_TO']	['1002620346015584256', '1002603343355625472', '1002465349294592000']
997823715596435456	[{'likes': '0', 'tid': '997823715596435456', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}, {'eco': 'GC'}, {'likes': '23', 'tid': '997740383248494592', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}]	1	['RETWEETS']	['997823715596435456', '997740383248494592']
997599224278716418	[{'likes': '0', 'tid': '997599224278716418', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}, {'eco': 'GC'}, {'likes': '124541', 'tid': '997112115789025280', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}, {'eco': 'GC'}, {'likes': '1824', 'tid': '997110277547220993', 'lang': 'en', 'eco': 'BLM', 'text': '', 'created_at': ''}]	2	['RETWEETS', 'QUOTED_TO']	['997599224278716418', '997112115789025280', '997110277547220993']
997835580347174916	[{'likes': '0', 'tid': '997835580347174916', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}, {'eco': 'GC'}, {'likes': '174', 'tid': '997825494514008066', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}]	1	['RETWEETS']	['997835580347174916', '997825494514008066']
1000008430008975361	[{'likes': '0', 'tid': '1000008430008975361', 'lang': 'ja', 'eco': 'MT', 'text': '', 'created_at': ''}, {'eco': 'MT'}, {'likes': '19', 'tid': '1000007470788444160', 'lang': 'ja', 'eco': 'MT', 'text': '', 'created_at': ''}, {'eco': 'MT'}, {'tid': '1000006594384379907', 'eco': 'MT'}]	2	['RETWEETS', 'REPLIES_TO']	['1000008430008975361', '1000007470788444160', '1000006594384379907']
997680701330919424	[{'likes': '0', 'tid': '997680701330919424', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}, {'eco': 'GC'}, {'likes': '124541', 'tid': '997112115789025280', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}, {'eco': 'GC'}, {'likes': '1824', 'tid': '997110277547220993', 'lang': 'en', 'eco': 'BLM', 'text': '', 'created_at': ''}]	2	['RETWEETS', 'QUOTED_TO']	['997680701330919424', '997112115789025280', '997110277547220993']
1000305986773565440	[{'likes': '0', 'tid': '1000305986773565440', 'lang': 'ja', 'eco': 'MT', 'text': '', 'created_at': ''}, {'eco': 'MT'}, {'likes': '293', 'tid': '999084744359854080', 'lang': 'ja', 'eco': 'MT', 'text': '', 'created_at': ''}]	1	['RETWEETS']	['1000305986773565440', '999084744359854080']
1007407321268580354	[{'likes': '0', 'tid': '1007407321268580354', 'lang': 'en', 'eco': 'BLM', 'text': '', 'created_at': ''}, {'eco': 'BLM'}, {'likes': '301', 'tid': '999962735285882880', 'lang': 'en', 'eco': 'BLM', 'text': '', 'created_at': ''}]	1	['RETWEETS']	['1007407321268580354', '999962735285882880']
997572905822277632	[{'likes': '0', 'tid': '997572905822277632', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}, {'eco': 'GC'}, {'likes': '0', 'tid': '997569937467232256', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}]	1	['REPLIES_TO']	['997572905822277632', '997569937467232256']
994859339117727747	[{'likes': '0', 'tid': '994859339117727747', 'lang': 'en', 'eco': 'CCH', 'text': '', 'created_at': ''}, {'eco': 'CCH'}, {'likes': '1', 'tid': '992438365336276993', 'lang': 'de', 'eco': 'CCH', 'text': '', 'created_at': ''}]	1	['QUOTED_TO']	['994859339117727747', '992438365336276993']
998197012787937280	[{'likes': '0', 'tid': '998197012787937280', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}, {'eco': 'GC'}, {'likes': '96', 'tid': '997968893883834368', 'lang': 'en', 'eco': 'GC', 'text': '', 'created_at': ''}]	1	['QUOTED_TO']	['998197012787937280', '997968893883834368']
