Source,Target,Weight
maga,cch,92
past,cch,92
understand,cch,92
states,cch,92
winter,cch,92
might,cch,91
international,cch,91
makes,cch,90
governments,cch,90
panels,cch,90
billion,cch,90
cop24,cch,90
away,cch,90
lead,cch,90
resources,cch,90
cuts,cch,89
hope,cch,89
rica,cch,89
top,cch,89
point,cch,89
happening,cch,89
love,cch,89
administration,cch,89
leading,cch,89
hard,cch,88
huge,cch,88
tourism,cch,88
worldwide,cch,88
give,cch,88
2050,cch,88
tackling,cch,88
session,cch,87
blog,cch,87
events,cch,86
education,cch,86
fracking,cch,86
dioxide,cch,86
ban,cch,86
far,cch,86
challenge,cch,86
kids,cch,85
listen,cch,85
thing,cch,85
eco,cch,85
summer,cch,85
monitoring,cch,85
growth,cch,84
team,cch,84
plant,cch,84
politics,cch,84
tech,cch,84
school,cch,84
tree,cch,84
n,cch,84
pentagon,cch,83
company,cch,83
poor,cch,83
cost,cch,83
responsible,cch,83
move,cch,82
floods,cch,82
transformational,cch,82
combat,cch,82
meet,cch,81
april,cch,81
social,cch,81
possible,cch,81
art,cch,81
dr,cch,81
focus,cch,81
7,cch,81
threats,cch,81
towards,cch,81
foodinnovation,cch,81
pruitt,cch,80
50,cch,80
don’t,cch,80
generation,cch,80
reports,cch,80
history,cch,80
evidence,cch,80
thought,cch,79
species,cch,79
electricity,cch,79
bcpoli,cch,79
students,cch,79
animals,cch,79
book,cch,79
potential,cch,79
season,cch,79
gop,cch,79
millions,cch,79
crisis,cch,79
13,cch,78
rich,cch,78
eachother,cch,78
udf0e,cch,78
e,cch,78
days,cch,78
director,cch,78
increasing,cch,78
things,cch,78
matter,cch,78
sure,cch,78
ghg,cch,78
blockchain,cch,78
found,cch,77
18,cch,77
short,cch,77
vulnerable,cch,77
american,cch,77
zero,cch,77
needed,cch,77
small,cch,77
nations,cch,77
agreement,cch,77
2020,cch,76
scientific,cch,76
ebafosa,cch,76
critical,cch,76
investment,cch,76
yes,cch,76
budget,cch,76
require,cch,76
debate,cch,76
among,cch,75
resilient,cch,75
living,cch,75
birds,cch,75
lot,cch,75
set,cch,75
per,cch,75
paper,cch,75
udc49contribute,cch,74
infrastructure,cch,74
humans,cch,74
largest,cch,74
8,cch,74
management,cch,74
deforestation,cch,74
according,cch,73
shared,cch,73
era,cch,73
soil,cch,73
tell,cch,73
significant,cch,73
political,cch,73
soon,cch,73
planning,cch,73
old,cch,73
cannot,cch,73
flooding,cch,73
recent,cch,73
pipeline,cch,73
comes,cch,73
north,cch,73
everything,cch,73
gases,cch,73
hurricanes,cch,72
plans,cch,72
germany,cch,72
term,cch,72
smart,cch,72
breaking,cch,72
kenya,cch,72
others,cch,72
investors,cch,72
protection,cch,71
open,cch,71
vote,cch,71
awareness,cch,71
cut,cch,71
full,cch,71
reducing,cch,71
wedonotconsent,cch,71
production,cch,70
bill,cch,70
place,cch,70
keepitintheground,cch,70
urgent,cch,70
media,cch,70
truth,cch,70
demand,cch,70
increased,cch,70
proud,cch,70
researchers,cch,70
question,cch,70
reality,cch,70
sector,cch,70
glaciers,cch,70
experts,cch,70
loss,cch,70
co,cch,69
vegan,cch,69
hit,cch,69
talanoa4ambition,cch,69
especially,cch,69
current,cch,69
discuss,cch,69
trying,cch,68
goal,cch,68
plastic,cch,68
essential,cch,68
least,cch,68
pacific,cch,68
rights,cch,68
happen,cch,68
goals,cch,68
awesome,cch,68
programme,cch,67
15,cch,67
fact,cch,67
population,cch,67
ones,cch,67
disaster,cch,67
discussion,cch,66
b,cch,66
approach,cch,66
man,cch,66
financial,cch,66
disasters,cch,66
obama,cch,66
transition,cch,66
actions,cch,66
wildlife,cch,66
behind,cch,66
targets,cch,65
foodsecurity,cch,65
speaking,cch,65
serious,cch,65
antarctic,cch,65
helping,cch,65
finds,cch,65
film,cch,65
wants,cch,65
costs,cch,65
initiative,cch,65
non,cch,64
average,cch,64
urban,cch,64
america,cch,64
pay,cch,64
leader,cch,64
world’s,cch,64
within,cch,63
europe,cch,63
wait,cch,63
gogreen,cch,63
panel,cch,63
indigenous,cch,63
county,cch,63
left,cch,63
worldudc90,cch,63
region,cch,63
can’t,cch,63
facts,cch,63
idea,cch,63
islands,cch,63
⚘small,cch,63
gender,cch,63
airpollution,cch,63
seen,cch,62
play,cch,62
travel,cch,62
innovative,cch,62
single,cch,62
course,cch,62
series,cch,62
quietly,cch,62
engineering,cch,62
prevent,cch,62
tcot,cch,62
reason,cch,62
udf31follow,cch,62
eachotherudf32,cch,62
resist,cch,62
annual,cch,62
likely,cch,61
humanrights,cch,61
climateapocalypse,cch,61
south,cch,61
adapt,cch,61
looks,cch,61
longer,cch,61
scale,cch,61
forum,cch,61
foodtech,cch,61
rain,cch,60
summit,cch,60
climatejustice,cch,60
scott,cch,60
remember,cch,60
lives,cch,60
damage,cch,60
nothing,cch,60
tax,cch,60
scientist,cch,60
european,cch,59
job,cch,59
fund,cch,59
true,cch,59
flood,cch,59
kindermorgan,cch,59
three,cch,59
chance,cch,59
storm,cch,58
seas,cch,58
anyone,cch,58
turn,cch,58
forecast,cch,58
island,cch,58
cancels,cch,58
denial,cch,58
late,cch,58
mitigate,cch,58
projects,cch,58
studies,cch,58
sealevelrise,cch,58
florida,cch,58
sign,cch,58
excellent,cch,58
increases,cch,58
emission,cch,58
electric,cch,58
causing,cch,58
apply,cch,58
unite,cch,57
award,cch,57
potus,cch,57
wakeup,cch,57
almost,cch,57
effect,cch,57
importance,cch,57
ca,cch,57
cleanair,cch,57
addressing,cch,57
protecting,cch,57
improve,cch,56
june,cch,56
difference,cch,56
migration,cch,56
causes,cch,56
number,cch,56
instead,cch,56
century,cch,56
bigger,cch,56
twitter,cch,56
got,cch,56
solve,cch,55
greenpeace,cch,55
plants,cch,55
justice,cch,55
discussing,cch,55
opportunities,cch,55
inspiring,cch,55
maybe,cch,55
case,cch,55
unfccc,cch,55
faster,cch,55
farming,cch,55
solarpower,cch,55
deal,cch,55
investing,cch,55
common,cch,55
agree,cch,55
weathermodification,cch,55
sdg,cch,55
fish,cch,55
head,cch,54
close,cch,54
9,cch,54
despite,cch,54
systems,cch,54
americans,cch,54
leave,cch,54
h,cch,54
campaign,cch,54
spring,cch,54
snow,cch,54
workshop,cch,54
tonight,cch,54
consequences,cch,54
knowledge,cch,53
kinder,cch,53
morning,cch,53
bear,cch,53
side,cch,53
f,cch,53
strategy,cch,53
beautiful,cch,53
clear,cch,53
example,cch,53
al,cch,53
creating,cch,53
climateengineering,cch,53
interested,cch,53
whole,cch,53
wrong,cch,53
happy,cch,53
answer,cch,52
practices,cch,52
corporate,cch,52
processing,cch,52
simple,cch,52
cool,cch,52
benefits,cch,52
mean,cch,52
conversation,cch,52
dialogue,cch,51
coast,cch,51
thread,cch,51
here’s,cch,51
grow,cch,51
order,cch,51
affects,cch,51
space,cch,51
thinking,cch,51
source,cch,51
remove,cch,51
website,cch,51
canadian,cch,51
federal,cch,51
bc,cch,51
antarctica,cch,51
register,cch,51
gone,cch,50
wave,cch,50
wildfires,cch,50
businesses,cch,50
car,cch,50
warmer,cch,50
east,cch,50
ambition,cch,50
fast,cch,50
decades,cch,50
normal,cch,50
40,cch,50
banks,cch,49
ahead,cch,49
half,cch,49
extinction,cch,49
goes,cch,49
control,cch,49
05,cch,49
planting,cch,49
scottpruitt,cch,49
becoming,cch,49
different,cch,49
“the,cch,49
footprint,cch,49
2016,cch,49
process,cch,49
commitment,cch,49
response,cch,49
politicians,cch,49
podcast,cch,48
nation,cch,48
higher,cch,48
cover,cch,48
sharing,cch,48
explains,cch,48
influence,cch,48
insurance,cch,48
allergy,cch,48
sun,cch,48
2030,cch,48
morgan,cch,48
burning,cch,48
negotiations,cch,48
christian,cch,48
member,cch,48
americandream16,cch,48
friendly,cch,48
healthy,cch,48
protected,cch,48
learning,cch,48
dw,cch,48
info,cch,48
coffee,cch,48
eccc,cch,48
bears,cch,47
grib2,cch,47
poverty,cch,47
survival,cch,47
attention,cch,47
yesterday,cch,47
solarchvision,cch,47
disease,cch,47
terms,cch,47
helps,cch,47
mission,cch,47
threaten,cch,47
transport,cch,47
hey,cch,47
clima,cch,47
dead,cch,47
wake,cch,47
cleantech,cch,47
amdchem,cch,47
supporting,cch,47
reef,cch,47
stronger,cch,47
ccot,cch,47
reporting,cch,47
let’s,cch,47
saving,cch,47
positive,cch,47
mention,cch,47
author,cch,47
david,cch,47
00z,cch,47
visit,cch,47
published,cch,47
takes,cch,47
actually,cch,46
animal,cch,46
solarenergy,cch,46
raise,cch,46
increasingly,cch,46
early,cch,46
severe,cch,46
safe,cch,46
cold,cch,46
eyes,cch,46
linked,cch,46
accelerate,cch,46
ready,cch,46
glacier,cch,46
area,cch,46
products,cch,46
seems,cch,46
piece,cch,46
baby,cch,46
excited,cch,46
i’m,cch,46
military,cch,46
citizens,cch,45
bring,cch,45
doesn’t,cch,45
16,cch,45
analysis,cch,45
king,cch,45
access,cch,45
atmospheric,cch,45
ecosystem,cch,45
degrees,cch,45
coral,cch,45
lnp,cch,45
denying,cch,45
shift,cch,45
rest,cch,45
hot,cch,45
deaths,cch,45
called,cch,44
burden,cch,44
waterfirst,cch,44
800,cch,44
god,cch,44
washington,cch,44
ideas,cch,44
fire,cch,44
draft,cch,44
mandate,cch,44
finally,cch,44
insideclimate,cch,44
driving,cch,44
wonder,cch,44
atlantic,cch,44
facing,cch,44
polar,cch,44
happens,cch,44
forced,cch,44
stay,cch,44
driven,cch,44
storms,cch,44
destroying,cch,44
harder,cch,44
calling,cch,44
threatens,cch,44
someone,cch,44
list,cch,44
sdg13,cch,43
meat,cch,43
often,cch,43
present,cch,43
decision,cch,43
12,cch,43
waters,cch,43
ignore,cch,43
river,cch,43
cars,cch,43
costarica,cch,43
understanding,cch,43
“we,cch,43
finding,cch,43
success,cch,43
capitalism,cch,43
promote,cch,43
beyond,cch,43
responsibility,cch,43
large,cch,43
hoax,cch,43
topic,cch,42
benefit,cch,42
cop23,cch,42
greatest,cch,42
recently,cch,42
four,cch,42
review,cch,42
push,cch,42
required,cch,42
wakeupamerica,cch,42
available,cch,42
achieve,cch,42
age,cch,42
lawsuit,cch,42
try,cch,42
value,cch,42
clim,cch,42
aviation,cch,42
ecology,cch,42
strategies,cch,42
win,cch,42
affected,cch,42
questions,cch,42
scotland,cch,42
giving,cch,42
market,cch,42
account,cch,42
poses,cch,42
worth,cch,42
former,cch,42
design,cch,42
problems,cch,42
recycling,cch,41
stopkm,cch,41
climatefinance,cch,41
deniers,cch,41
war,cch,41
party,cch,41
we’re,cch,41
shadowgovernment,cch,41
london,cch,41
estimated,cch,41
ask,cch,41
final,cch,41
student,cch,41
reduction,cch,41
massive,cch,41
stateofclimate,cch,41
fantastic,cch,41
places,cch,41
starting,cch,41
highest,cch,41
fires,cch,41
launch,cch,41
price,cch,41
verifying,cch,41
announced,cch,40
denier,cch,40
continues,cch,40
general,cch,40
concerned,cch,40
else,cch,40
efficiency,cch,40
able,cch,40
destroy,cch,40
becomes,cch,40
80,cch,40
night,cch,40
running,cch,40
ht,cch,40
lower,cch,40
involved,cch,40
taken,cch,39
warning,cch,39
lawsuits,cch,39
crucial,cch,39
target,cch,39
parts,cch,39
500,cch,39
spending,cch,39
slow,cch,39
moving,cch,39
speak,cch,39
front,cch,39
cleanwater,cch,39
earthday,cch,39
message,cch,39
sustainabledevelopment,cch,39
regional,cch,39
second,cch,39
ceo,cch,39
feel,cch,39
govt,cch,39
supply,cch,39
given,cch,38
nwo,cch,38
thedrum,cch,38
globalists,cch,38
cl,cch,38
stage,cch,38
housing,cch,38
410,cch,38
months,cch,38
23,cch,38
fresh,cch,38
etc,cch,38
information,cch,38
central,cch,38
john,cch,38
standards,cch,38
calls,cch,38
cli,cch,38
ppm,cch,38
corruption,cch,38
capacity,cch,38
force,cch,38
miss,cch,38
effective,cch,38
five,cch,38
die,cch,38
name,cch,38
talanoa,cch,38
vice,cch,38
that’s,cch,38
addressed,cch,38
climat,cch,37
nigeria,cch,37
tool,cch,37
agenda,cch,37
committed,cch,37
university,cch,37
choose,cch,37
pell,cch,37
members,cch,37
met,cch,37
globally,cch,37
isn’t,cch,37
nice,cch,37
sad,cch,37
sierra,cch,37
consumption,cch,37
consumers,cch,37
groups,cch,37
mining,cch,37
reach,cch,37
stand,cch,37
along,cch,37
worst,cch,37
minister,cch,37
steps,cch,37
track,cch,37
discussions,cch,37
rapid,cch,37
parties,cch,37
produce,cch,37
ambitious,cch,36
satellite,cch,36
collaboration,cch,36
competition,cch,36
fossilfree,cch,36
friends,cch,36
14,cch,36
surface,cch,36
oxygen,cch,36
inequality,cch,36
release,cch,36
gets,cch,36
organic,cch,36
death,cch,36
energyefficiency,cch,36
prof,cch,36
congratulations,cch,36
buildings,cch,36
trade,cch,36
warm,cch,36
priority,cch,36
crops,cch,36
fossilfuel,cch,36
quickly,cch,36
came,cch,36
hotter,cch,36
worried,cch,36
african,cch,36
happened,cch,36
