Source,Target,Weight
jobs,cch,95
art,cch,95
biggest,cch,95
finance,cch,95
international,cch,94
building,cch,94
cop24,cch,94
le,cch,93
winter,cch,93
model,cch,93
policies,cch,93
used,cch,93
ways,cch,92
forecast,cch,92
past,cch,92
understand,cch,92
states,cch,92
resources,cch,92
might,cch,91
education,cch,91
administration,cch,91
lead,cch,91
leading,cch,91
makes,cch,90
rica,cch,90
eco,cch,90
pentagon,cch,90
panels,cch,90
billion,cch,90
2050,cch,90
give,cch,90
away,cch,90
governments,cch,90
cuts,cch,89
hope,cch,89
fracking,cch,89
tourism,cch,89
top,cch,89
point,cch,89
happening,cch,89
love,cch,89
wedonotconsent,cch,89
hard,cch,88
huge,cch,88
05,cch,88
worldwide,cch,88
monitoring,cch,88
tackling,cch,88
kids,cch,87
vegan,cch,87
politics,cch,87
session,cch,87
7,cch,87
blog,cch,87
n,cch,87
events,cch,86
dioxide,cch,86
ban,cch,86
far,cch,86
challenge,cch,86
tree,cch,86
listen,cch,85
thing,cch,85
bcpoli,cch,85
18,cch,85
poor,cch,85
summer,cch,85
8,cch,85
tech,cch,85
team,cch,84
growth,cch,84
plant,cch,84
school,cch,84
april,cch,83
company,cch,83
cost,cch,83
dr,cch,83
responsible,cch,83
foodinnovation,cch,83
move,cch,82
floods,cch,82
combat,cch,82
udf0e,cch,82
transformational,cch,82
book,cch,82
50,cch,82
awareness,cch,82
eccc,cch,82
pruitt,cch,81
meet,cch,81
threats,cch,81
solarchvision,cch,81
social,cch,81
possible,cch,81
animals,cch,81
focus,cch,81
deforestation,cch,81
towards,cch,81
millions,cch,81
2020,cch,80
13,cch,80
days,cch,80
don’t,cch,80
generation,cch,80
reports,cch,80
al,cch,80
history,cch,80
evidence,cch,80
thought,cch,79
electricity,cch,79
era,cch,79
students,cch,79
matter,cch,79
potential,cch,79
gop,cch,79
season,cch,79
species,cch,79
crisis,cch,79
protection,cch,78
rich,cch,78
eachother,cch,78
media,cch,78
ebafosa,cch,78
director,cch,78
increasing,cch,78
things,cch,78
sure,cch,78
budget,cch,78
ghg,cch,78
agreement,cch,78
found,cch,77
short,cch,77
vulnerable,cch,77
solarenergy,cch,77
american,cch,77
climateapocalypse,cch,77
zero,cch,77
scientific,cch,77
needed,cch,77
resilient,cch,77
small,cch,77
birds,cch,77
nations,cch,77
obama,cch,77
infrastructure,cch,76
debate,cch,76
critical,cch,76
investment,cch,76
yes,cch,76
kenya,cch,76
require,cch,76
among,cch,75
shared,cch,75
keepitintheground,cch,75
significant,cch,75
living,cch,75
lot,cch,75
set,cch,75
recent,cch,75
paper,cch,75
udc49contribute,cch,74
humans,cch,74
largest,cch,74
planning,cch,74
flooding,cch,74
management,cch,74
wildlife,cch,74
programme,cch,73
co,cch,73
according,cch,73
soil,cch,73
tell,cch,73
political,cch,73
breaking,cch,73
soon,cch,73
old,cch,73
cannot,cch,73
pipeline,cch,73
comes,cch,73
north,cch,73
everything,cch,73
gases,cch,73
hurricanes,cch,72
plans,cch,72
germany,cch,72
term,cch,72
plastic,cch,72
smart,cch,72
vote,cch,72
solarpower,cch,72
others,cch,72
cut,cch,72
investors,cch,72
15,cch,71
open,cch,71
man,cch,71
talanoa4ambition,cch,71
full,cch,71
reducing,cch,71
experts,cch,71
airpollution,cch,71
production,cch,70
bill,cch,70
place,cch,70
urgent,cch,70
truth,cch,70
increased,cch,70
proud,cch,70
rights,cch,70
demand,cch,70
researchers,cch,70
question,cch,70
transition,cch,70
reality,cch,70
sector,cch,70
glaciers,cch,70
loss,cch,70
europe,cch,69
gogreen,cch,69
hit,cch,69
current,cch,69
especially,cch,69
l,cch,69
discuss,cch,69
discussion,cch,68
non,cch,68
climat,cch,68
b,cch,68
goals,cch,68
goal,cch,68
essential,cch,68
least,cch,68
pacific,cch,68
idea,cch,68
trying,cch,68
happen,cch,68
awesome,cch,68
à,cch,67
fact,cch,67
et,cch,67
causes,cch,67
population,cch,67
ones,cch,67
actions,cch,67
disaster,cch,67
initiative,cch,67
approach,cch,66
panel,cch,66
targets,cch,66
financial,cch,66
helping,cch,66
leader,cch,66
behind,cch,66
disasters,cch,66
foodsecurity,cch,65
speaking,cch,65
serious,cch,65
antarctic,cch,65
cleanair,cch,65
