Source,Target,Weight
son,blm,122
best,blm,121
college,blm,121
civilrights,blm,121
innocent,blm,121
que,blm,121
national,blm,120
eff,blm,120
13,blm,120
side,blm,120
facebook,blm,120
beautiful,blm,120
hard,blm,119
da,blm,119
whites,blm,119
shame,blm,119
june,blm,118
trumptrain,blm,118
happening,blm,118
room,blm,118
didn’t,blm,117
tcot,blm,117
lot,blm,117
ass,blm,117
ok,blm,117
wow,blm,116
using,blm,116
flag,blm,115
actually,blm,115
job,blm,115
friends,blm,115
victim,blm,115
died,blm,115
activism,blm,115
continue,blm,115
naacp,blm,115
education,blm,114
boycottworldcup2018,blm,114
assault,blm,113
tweet,blm,113
anything,blm,113
instead,blm,112
south,blm,112
fighting,blm,112
blackpower,blm,112
sick,blm,112
point,blm,112
everything,blm,112
blackwomen,blm,111
heart,blm,110
order,blm,110
hell,blm,110
issues,blm,110
blacklivesmatter⁠,blm,110
word,blm,110
coming,blm,109
marcusdavidlpeters,blm,109
taking,blm,109
russiansanctionsnow,blm,109
republicans,blm,109
military,blm,109
co,blm,108
blackhistory,blm,108
c,blm,108
en,blm,108
force,blm,108
sjw,blm,108
told,blm,107
already,blm,107
control,blm,107
pro,blm,107
l,blm,107
discrimination,blm,107
happen,blm,107
barack,blm,106
die,blm,106
pay,blm,106
united,blm,105
terrorist,blm,105
dead,blm,105
society,blm,105
looks,blm,105
⁠⁠,blm,104
luther,blm,104
wafflehouse,blm,104
girl,blm,104
different,blm,104
list,blm,104
asked,blm,103
guncontrol,blm,103
based,blm,103
boy,blm,103
words,blm,103
talking,blm,102
lets,blm,102
big,blm,102
stephonclark,blm,102
boycottvanguard,blm,102
blue,blm,102
sayhername,blm,102
boycottblackrock,blm,102
post,blm,101
12,blm,101
shoot,blm,101
hashtag,blm,101
00am,blm,101
911,blm,101
ferguson,blm,100
pride,blm,100
2a,blm,100
deserve,blm,100
that’s,blm,100
whole,blm,100
immigration,blm,99
gaza,blm,99
silence,blm,99
understand,blm,99
abuse,blm,99
ocra,blm,99
blacklove,blm,99
behind,blm,99
living,blm,99
enoughisenough,blm,98
high,blm,98
disgusting,blm,98
stay,blm,98
baby,blm,98
head,blm,97
democrat,blm,97
custody,blm,97
criminal,blm,97
poor,blm,97
members,blm,97
hands,blm,97
government,blm,97
charged,blm,97
gay,blm,97
leave,blm,97
become,blm,97
resisters,blm,97
song,blm,97
ht,blm,97
attack,blm,96
families,blm,96
ago,blm,96
11,blm,96
shooting,blm,96
20,blm,96
kind,blm,96
jr,blm,96
action,blm,96
held,blm,96
he’s,blm,96
chief,blm,96
citizens,blm,95
fear,blm,95
health,blm,95
damn,blm,95
county,blm,95
mothersday,blm,95
treated,blm,95
try,blm,95
staywoke,blm,95
y’all,blm,95
guns,blm,95
ramaphosa,blm,94
dorm,blm,94
uniteblue,blm,94
agree,blm,94
8,blm,94
wants,blm,93
hold,blm,93
votethemout,blm,93
prom,blm,93
run,blm,93
charges,blm,93
they’re,blm,92
maybe,blm,92
wtf,blm,92
progressives,blm,92
started,blm,92
act,blm,92
powerful,blm,92
guess,blm,92
went,blm,91
judge,blm,91
court,blm,91
deal,blm,91
example,blm,91
question,blm,91
blackpeople,blm,91
mueller,blm,91
kanye,blm,91
learn,blm,90
etc,blm,90
issue,blm,90
reform,blm,90
lost,blm,90
lynched,blm,90
night,blm,90
business,blm,89
unite,blm,89
happy,blm,89
violent,blm,89
accountable,blm,89
states,blm,89
campaign,blm,89
georgia,blm,89
speaks,blm,89
speaking,blm,89
less,blm,89
save,blm,89
demand,blm,89
mind,blm,89
office,blm,88
mothers,blm,88
rest,blm,88
millennials,blm,88
imwithkap,blm,88
sorry,blm,87
democratic,blm,87
politics,blm,87
else,blm,87
progressive,blm,87
march,blm,87
protests,blm,87
streets,blm,86
14,blm,86
federal,blm,86
f,blm,86
isis,blm,86
injustice,blm,86
amazing,blm,86
lady,blm,86
anc,blm,86
wednesdaywisdom,blm,86
heard,blm,85
wait,blm,85
security,blm,85
means,blm,85
sj,blm,85
worse,blm,85
outside,blm,85
dont,blm,85
might,blm,84
park,blm,84
blackmen,blm,84
groups,blm,84
